id,name,ranking,adm_rate,size,SAT_math,SAT_EBRW,ACT_composite,in_state_cost,out_state_cost,institution_type,grad_debt_median,completion_rate,state,majors
77,University of Arkansas,401,0.6596,22763,590,605,26,26144,42632,Public,21500,47.1,AR,"[""Accounting"", ""Agribusiness/Agricultural Business Operations"", ""Agricultural and Extension Education Services"", ""Agronomy and Crop Science"", ""Animal Sciences, General"", ""Anthropology"", ""Apparel and Textiles, General"", ""Architecture"", ""Art History, Criticism and Conservation"", ""Art/Art Studies, General"", ""Audiology/Audiologist and Speech-Language Pathology/Pathologist"", ""Bioengineering and Biomedical Engineering"", ""Biological/Biosystems Engineering"", ""Biology/Biological Sciences, General"", ""Business Administration and Management, General"", ""Business/Commerce, General"", ""Business/Managerial Economics"", ""Chemical Engineering"", ""Chemistry, General"", ""Civil Engineering, General"", ""Classics and Classical Languages, Literatures, and Linguistics, General"", ""Computer Engineering, General"", ""Computer Science"", ""Computer and Information Sciences, General"", ""Criminal Justice/Safety Studies"", ""Design and Visual Communications, General"", ""Dietetics/Dietitian"", ""Drama and Dramatics/Theatre Arts, General"", ""Economics, General"", ""Education, General"", ""Electrical and Electronics Engineering"", ""Elementary Education and Teaching"", ""English Language and Literature, General"", ""Environmental Science"", ""Family and Consumer Sciences/Human Sciences, General"", ""Finance, General"", ""Food Science"", ""Foods, Nutrition, and Wellness Studies, General"", ""French Language and Literature""]"
76,University of Arizona,136,0.8358,33428,625,586,25,28601,49822,Public,20000,45.0,AZ,"[""Accounting"", ""Aerospace, Aeronautical and Astronautical/Space Engineering"", ""African-American/Black Studies"", ""Agricultural Business Technology"", ""Agricultural Business and Management, General"", ""Agriculture, Agriculture Operations, and Related Sciences, Other"", ""Agronomy and Crop Science"", ""American Indian/Native American Studies"", ""Animal Sciences, General"", ""Anthropology"", ""Applied Economics"", ""Arabic Language and Literature"", ""Architecture"", ""Architecture and Related Services, Other"", ""Art History, Criticism and Conservation"", ""Art Teacher Education"", ""Astronomy"", ""Biochemistry"", ""Bioengineering and Biomedical Engineering"", ""Bioinformatics"", ""Biological/Biosystems Engineering"", ""Biology/Biological Sciences, General"", ""Business Administration and Management, General"", ""Business/Commerce, General"", ""Business/Managerial Economics"", ""Cell/Cellular and Molecular Biology"", ""Chemical Engineering"", ""Chemistry, General"", ""City/Urban, Community and Regional Planning"", ""Civil Engineering, General"", ""Classics and Classical Languages, Literatures, and Linguistics, General"", ""Communication Sciences and Disorders, General"", ""Community Health Services/Liaison/Counseling"", ""Computer Science"", ""Computer and Information Sciences, General"", ""Creative Writing"", ""Dance, General"", ""Drama and Dramatics/Theatre Arts, General"", ""East Asian Studies"", ""Ecology and Evolutionary Biology"", ""Economics, General"", ""Electrical, Electronics and Communications Engineering, Other"", ""Elementary Education and Teaching"", ""Engineering/Industrial Management"", ""English Language and Literature, General"", ""Entrepreneurship/Entrepreneurial Studies"", ""Environmental Science"", ""Environmental Studies"", ""Environmental/Environmental Health Engineering"", ""Film/Cinema/Video Studies"", ""Finance, General"", ""Fine/Studio Arts, General"", ""French Language and Literature"", ""General Studies"", ""Geographic Information Science and Cartography"", ""Geography"", ""Geology/Earth Science, General"", ""German Language and Literature"", ""Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies"", ""History, General""]"
75,University of Alabama at Birmingham,256,0.533,32387,-1,-1,25,28375,43165,Public,23250,30.1,AL,"[""Accounting"", ""African-American/Black Studies"", ""Anthropology"", ""Art/Art Studies, General"", ""Bioengineering and Biomedical Engineering"", ""Biological and Physical Sciences"", ""Biology/Biological Sciences, General"", ""Business Administration and Management, General"", ""Business Administration, Management and Operations, Other"", ""Business/Managerial Economics"", ""Chemistry, General"", ""Civil Engineering, General"", ""Clinical Laboratory Science/Medical Technology/Technologist"", ""Computer and Information Sciences, General"", ""Corrections and Criminal Justice, Other"", ""Drama and Dramatics/Theatre Arts, General"", ""Early Childhood Education and Teaching"", ""Electrical and Electronics Engineering"", ""Elementary Education and Teaching"", ""English Language and Literature, General"", ""Finance, General"", ""Foreign Languages and Literatures, General"", ""Health Information/Medical Records Administration/Administrator""]"
74,University of Alabama,401,0.533,32387,580,591,27,27216,46686,Public,23250,44.0,AL,"[""Accounting"", ""Advertising"", ""Aerospace, Aeronautical and Astronautical/Space Engineering"", ""African-American/Black Studies"", ""American/United States Studies/Civilization"", ""Anthropology"", ""Apparel and Textiles, General"", ""Architectural Engineering"", ""Art History, Criticism and Conservation"", ""Athletic Training/Trainer"", ""Audiology/Audiologist and Speech-Language Pathology/Pathologist"", ""Biology/Biological Sciences, General"", ""Business Administration and Management, General"", ""Business/Managerial Economics"", ""Chemical Engineering"", ""Chemistry, General"", ""Civil Engineering, General"", ""Computer and Information Sciences, General"", ""Construction Engineering"", ""Criminal Justice/Safety Studies"", ""Criminology"", ""Dance, General"", ""Drama and Dramatics/Theatre Arts, General"", ""Electrical and Electronics Engineering"", ""Elementary Education and Teaching"", ""English Language and Literature, General"", ""Environmental Science"", ""Environmental/Environmental Health Engineering"", ""Family Resource Management Studies, General"", ""Family and Consumer Sciences/Human Sciences, General"", ""Finance, General"", ""Fine/Studio Arts, General"", ""Foreign Languages and Literatures, General"", ""Geography""]"
73,Transylvania University,381,0.9547,965,620,618,27,54080,54080,Private nonprofit,26660,68.9,KY,"[""Accounting"", ""Anthropology"", ""Art History, Criticism and Conservation"", ""Art Teacher Education"", ""Art/Art Studies, General"", ""Biology/Biological Sciences, General"", ""Business/Commerce, General"", ""Chemistry Teacher Education"", ""Chemistry, General"", ""Classics and Classical Languages, Literatures, and Linguistics, General"", ""Computer and Information Sciences, General"", ""Drama and Dramatics/Theatre Arts, General"", ""Economics, General"", ""Elementary Education and Teaching"", ""English Language and Literature, General"", ""French Language and Literature"", ""German Language and Literature"", ""History, General""]"
72,The College of Wooster,143,0.5644,1970,640,628,27,66000,66000,Private nonprofit,25800,69.9,OH,"[""African-American/Black Studies"", ""Anthropology"", ""Archeology"", ""Art History, Criticism and Conservation"", ""Biochemistry"", ""Biology/Biological Sciences, General"", ""Business/Managerial Economics"", ""Chemistry, General"", ""Classics and Classical Languages, Literatures, and Linguistics, General"", ""Comparative Literature"", ""Computer Science"", ""Drama and Dramatics/Theatre Arts, General"", ""Economics, General"", ""English Language and Literature, General"", ""Environmental Science"", ""Fine/Studio Arts, General"", ""French Language and Literature"", ""Geological and Earth Sciences/Geosciences, Other"", ""Geology/Earth Science, General"", ""German Studies"", ""History, General"", ""International Relations and Affairs"", ""Mass Communication/Media Studies""]"
71,The College of St Scholastica,332,0.6825,2626,580,574,23,51866,51866,Private nonprofit,20262,61.1,MN,"[""Accounting"", ""Advertising"", ""Art/Art Studies, General"", ""Biochemistry"", ""Biology/Biological Sciences, General"", ""Business Administration and Management, General"", ""Chemistry, General"", ""Christian Studies"", ""Computer and Information Sciences, General"", ""Elementary Education and Teaching"", ""English Language and Literature, General"", ""Environmental Studies"", ""Exercise Physiology"", ""Finance, General"", ""Health Information/Medical Records Administration/Administrator"", ""Health Services/Allied Health/Health Sciences, General"", ""History, General"", ""Humanities/Humanistic Studies"", ""Indian/Native American Education"", ""International/Global Studies""]"
70,Texas Tech University,401,0.6918,30330,575,585,24,26712,39162,Public,21500,33.9,TX,"[""Accounting"", ""Advertising"", ""Agricultural Business and Management, General"", ""Agricultural Communication/Journalism"", ""Agricultural Economics"", ""Agriculture, General"", ""Animal Sciences, General"", ""Anthropology"", ""Architecture"", ""Art/Art Studies, General"", ""Biochemistry"", ""Biological and Physical Sciences"", ""Biology/Biological Sciences, General"", ""Business Administration and Management, General"", ""Business Administration, Management and Operations, Other"", ""Business/Commerce, General"", ""Cell/Cellular and Molecular Biology"", ""Chemical Engineering"", ""Chemistry, General"", ""Child Care and Support Services Management"", ""Child Development"", ""Civil Engineering, General"", ""Classics and Classical Languages, Literatures, and Linguistics, General"", ""Computer Engineering, General"", ""Computer and Information Sciences, General"", ""Construction Engineering"", ""Dance, General"", ""Dietetics/Dietitian"", ""Digital Communication and Media/Multimedia"", ""Drama and Dramatics/Theatre Arts, General"", ""Economics, General"", ""Electrical and Electronics Engineering"", ""English Language and Literature, General"", ""Environmental/Environmental Health Engineering"", ""Family Resource Management Studies, General"", ""Family and Community Services"", ""Family and Consumer Sciences/Human Sciences, General"", ""Fashion Merchandising"", ""Fashion/Apparel Design"", ""Finance, General"", ""Food Science"", ""Foreign Languages and Literatures, General"", ""French Language and Literature"", ""General Studies""]"
69,Texas Christian University,165,0.4108,8983,626,620,28,68894,68894,Private nonprofit,21000,69.2,TX,"[""Accounting"", ""Acting"", ""Actuarial Science"", ""Advertising"", ""Anthropology"", ""Art History, Criticism and Conservation"", ""Art Teacher Education"", ""Astronomy and Astrophysics, Other"", ""Athletic Training/Trainer"", ""Ballet"", ""Bilingual and Multilingual Education"", ""Biochemistry"", ""Biology/Biological Sciences, General"", ""Ceramic Arts and Ceramics"", ""Chemistry, General"", ""Computer Systems Analysis/Analyst"", ""Computer and Information Sciences, General"", ""Creative Writing"", ""Criminal Justice/Safety Studies"", ""Dance, General"", ""Design and Visual Communications, General"", ""Developmental and Child Psychology"", ""Dietetics and Clinical Nutrition Services, Other"", ""Dietetics/Dietitian"", ""Directing and Theatrical Production"", ""Drama and Dramatics/Theatre Arts, General"", ""Early Childhood Education and Teaching"", ""Economics, General"", ""Education/Teaching of Individuals with Hearing Impairments Including Deafness"", ""Elementary Education and Teaching"", ""Engineering, General"", ""English Language and Literature, General"", ""English/Language Arts Teacher Education"", ""Entrepreneurship/Entrepreneurial Studies"", ""Environmental Science"", ""Farm/Farm and Ranch Management"", ""Fashion Merchandising"", ""Finance, General"", ""Fine/Studio Arts, General"", ""French Language and Literature"", ""General Studies"", ""Geography"", ""Geological and Earth Sciences/Geosciences, Other"", ""Geology/Earth Science, General"", ""German Language and Literature"", ""Graphic Design"", ""Health and Physical Education/Fitness, General"", ""History, General"", ""Information Technology""]"
68,Temple University,185,0.5667,29037,610,620,27,34830,49208,Public,24796,48.7,PA,"[""Accounting"", ""Acting"", ""Actuarial Science"", ""Advertising"", ""African-American/Black Studies"", ""American/United States Studies/Civilization"", ""Anthropology"", ""Applied Mathematics, General"", ""Applied Mathematics, Other"", ""Architectural and Building Sciences/Technology"", ""Art History, Criticism and Conservation"", ""Art Teacher Education"", ""Asian Studies/Civilization"", ""Audiology/Audiologist and Speech-Language Pathology/Pathologist"", ""Biochemistry"", ""Bioengineering and Biomedical Engineering"", ""Biology/Biological Sciences, General"", ""Biophysics"", ""Business/Commerce, General"", ""Ceramic Arts and Ceramics"", ""Chemistry, General"", ""Chinese Language and Literature"", ""Cinematography and Film/Video Production"", ""City/Urban, Community and Regional Planning"", ""Civil Engineering, General"", ""Classics and Classical Languages, Literatures, and Linguistics, General"", ""Computational Science"", ""Computer and Information Sciences, General"", ""Computer and Information Sciences, Other"", ""Construction Engineering Technology/Technician"", ""Criminal Justice/Safety Studies"", ""Dance, General"", ""Economics, General"", ""Electrical and Electronics Engineering"", ""Elementary Education and Teaching"", ""Engineering Technology, General"", ""Engineering, General"", ""English Language and Literature, General"", ""English/Language Arts Teacher Education"", ""Entrepreneurship/Entrepreneurial Studies"", ""Environmental Science"", ""Environmental Studies"", ""Environmental/Environmental Health Engineering"", ""Fiber, Textile and Weaving Arts"", ""Finance, General"", ""Financial Planning and Services"", ""Fine Arts and Art Studies, Other"", ""Foreign Language Teacher Education"", ""French Language and Literature"", ""Geography, Other"", ""Geology/Earth Science, General"", ""German Language and Literature"", ""German Studies"", ""Graphic Design"", ""Historic Preservation and Conservation"", ""History, General"", ""Horticultural Science"", ""Hospitality Administration/Management, General"", ""Human Development and Family Studies, General"", ""Human Resources Management/Personnel Administration, General"", ""Industrial Engineering"", ""Information Technology"", ""Insurance""]"
67,Suffolk University,291,0.8355,4952,540,546,24,62149,62149,Private nonprofit,27000,45.4,MA,"[""Accounting"", ""Advertising"", ""Art History, Criticism and Conservation"", ""Asian Studies/Civilization"", ""Biochemistry"", ""Biology/Biological Sciences, General"", ""Broadcast Journalism"", ""Business Administration and Management, General"", ""Business/Managerial Economics"", ""Chemistry, General"", ""Computer Engineering, General"", ""Computer Science"", ""Computer and Information Sciences, General"", ""Criminology"", ""Drama and Dramatics/Theatre Arts, General"", ""Economics, General"", ""English Language and Literature, General"", ""Entrepreneurship/Entrepreneurial Studies"", ""Environmental Science"", ""Environmental Studies"", ""Environmental/Environmental Health Engineering"", ""Finance, General"", ""Fine/Studio Arts, General"", ""Foreign Languages and Literatures, General"", ""Graphic Design"", ""History, General""]"
66,Stony Brook University,105,0.4219,17215,675,671,28,27221,44891,Public,19000,52.8,NY,"[""African-American/Black Studies"", ""American/United States Studies/Civilization"", ""Anthropology"", ""Applied Mathematics, General"", ""Art History, Criticism and Conservation"", ""Art/Art Studies, General"", ""Asian Studies/Civilization"", ""Astronomy"", ""Athletic Training/Trainer"", ""Atmospheric Sciences and Meteorology, General"", ""Biochemistry"", ""Bioengineering and Biomedical Engineering"", ""Biological and Physical Sciences"", ""Biology/Biological Sciences, General"", ""Business Administration and Management, General"", ""Chemical and Biomolecular Engineering"", ""Chemistry, General"", ""Chemistry, Other"", ""Civil Engineering, General"", ""Clinical Laboratory Science/Medical Technology/Technologist"", ""Comparative Literature"", ""Computer and Information Sciences, General"", ""Drama and Dramatics/Theatre Arts, General"", ""Ecology"", ""Economics, General"", ""Electrical and Electronics Engineering"", ""Engineering, General"", ""English Language and Literature, General"", ""Environmental Design/Architecture"", ""Environmental Studies"", ""European Studies/Civilization""]"
65,Stevenson University,401,0.6087,3375,555,549,22,55266,55266,Private nonprofit,27000,40.8,MD,"[""Accounting"", ""Acting"", ""Biochemistry"", ""Biology/Biological Sciences, General"", ""Biotechnology"", ""Business Administration and Management, General"", ""Business/Corporate Communications"", ""Chemistry, General"", ""Cinematography and Film/Video Production"", ""Clinical Laboratory Science/Medical Technology/Technologist"", ""Computer Systems Networking and Telecommunications"", ""Computer and Information Sciences, General"", ""Criminal Justice/Law Enforcement Administration"", ""Design and Visual Communications, General"", ""Digital Communication and Media/Multimedia"", ""Drama and Dramatics/Theatre Arts, General"", ""Early Childhood Education and Teaching""]"
64,St Bonaventure University,401,0.7053,1592,560,560,24,50791,50791,Private nonprofit,26718,59.3,NY,"[""Accounting"", ""Biochemistry"", ""Bioinformatics"", ""Biology/Biological Sciences, General"", ""Business Administration and Management, General"", ""Chemistry, General"", ""Child Development"", ""Computer Science"", ""Computer and Information Sciences and Support Services, Other"", ""Creative Writing"", ""Digital Communication and Media/Multimedia"", ""Drama and Dramatics/Theatre Arts, General"", ""Elementary Education and Teaching"", ""English Language and Literature, General"", ""Environmental Studies"", ""Finance, General"", ""History, General""]"
63,Smith College,41,0.3187,2519,695,695,31,75229,75229,Private nonprofit,19000,82.3,MA,"[""African-American/Black Studies"", ""American/United States Studies/Civilization"", ""Ancient/Classical Greek Language and Literature"", ""Anthropology"", ""Architecture"", ""Art History, Criticism and Conservation"", ""Art/Art Studies, General"", ""Astronomy"", ""Biochemistry"", ""Biology/Biological Sciences, General"", ""Chemistry, General"", ""Classics and Classical Languages, Literatures, and Linguistics, General"", ""Comparative Literature"", ""Computer Science"", ""Dance, General"", ""Drama and Dramatics/Theatre Arts, General"", ""East Asian Languages, Literatures, and Linguistics, General"", ""East Asian Studies"", ""Economics, General"", ""Education, General"", ""Engineering Science"", ""English Language and Literature, General"", ""Environmental Studies"", ""Film/Cinema/Video Studies"", ""Fine/Studio Arts, General"", ""French Language and Literature"", ""French Studies""]"
62,Siena College,295,0.7785,3132,580,529,25,57410,57410,Private nonprofit,26927,73.7,NY,"[""Actuarial Science"", ""American/United States Studies/Civilization"", ""Biochemistry"", ""Biological and Biomedical Sciences, Other"", ""Biology/Biological Sciences, General"", ""Business Administration, Management and Operations, Other"", ""Business/Commerce, General"", ""Chemistry, General"", ""Classics and Classical Languages, Literatures, and Linguistics, General"", ""Computational Mathematics"", ""Computational Science"", ""Computer and Information Sciences, General"", ""Ecology"", ""Economics, General"", ""English Language and Literature, General"", ""Environmental Science"", ""Environmental Studies""]"
61,School of the Art Institute of Chicago,351,0.6982,2889,-1,-1,24,71090,71090,Private nonprofit,26000,41.0,IL,"[""Animation, Interactive Technology, Video Graphics and Special Effects"", ""Architecture and Related Services, Other"", ""Art History, Criticism and Conservation"", ""Art Teacher Education"", ""Art/Art Studies, General"", ""Ceramic Arts and Ceramics"", ""Cinematography and Film/Video Production"", ""Computer Graphics"", ""Creative Writing"", ""Design and Applied Arts, Other"", ""Design and Visual Communications, General"", ""Digital Communication and Media/Multimedia"", ""Drawing"", ""Fashion/Apparel Design"", ""Fiber, Textile and Weaving Arts"", ""Film/Cinema/Video Studies"", ""Film/Video and Photographic Arts, Other""]"
60,San Diego State University,270,0.3542,29781,605,602,25,30522,42402,Public,15340,37.0,CA,"[""Accounting"", ""Advertising"", ""Aerospace, Aeronautical and Astronautical/Space Engineering"", ""African-American/Black Studies"", ""American Indian/Native American Studies"", ""Anthropology"", ""Applied Mathematics, General"", ""Art History, Criticism and Conservation"", ""Art/Art Studies, General"", ""Asian Studies/Civilization"", ""Astronomy"", ""Athletic Training/Trainer"", ""Atomic/Molecular Physics"", ""Biology/Biological Sciences, General"", ""Business Administration and Management, General"", ""Chemistry, General"", ""Civil Engineering, General"", ""Classics and Classical Languages, Literatures, and Linguistics, General"", ""Communication Sciences and Disorders, General"", ""Comparative Literature"", ""Computer Engineering, General"", ""Computer Science"", ""Construction Engineering Technology/Technician"", ""Criminal Justice/Safety Studies"", ""Dance, General"", ""Digital Communication and Media/Multimedia"", ""Drama and Dramatics/Theatre Arts, General"", ""Early Childhood Education and Teaching"", ""Ecology"", ""Economics, General"", ""Electrical and Electronics Engineering"", ""Engineering, General"", ""English Language and Literature, General"", ""Environmental Science"", ""Environmental Studies"", ""Environmental/Environmental Health Engineering"", ""Ethnic, Cultural Minority, Gender, and Group Studies, Other"", ""European Studies/Civilization"", ""Finance, General"", ""Financial Planning and Services"", ""Fine/Studio Arts, General"", ""French Language and Literature"", ""General Studies"", ""Geography"", ""Geology/Earth Science, General"", ""German Language and Literature"", ""Gerontology"", ""Graphic Design"", ""Health Communication"", ""Health and Physical Education/Fitness, General"", ""Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies"", ""History, General""]"
59,Samford University,170,0.8319,3364,570,598,26,49634,49634,Private nonprofit,19304,64.0,AL,"[""Accounting"", ""Ancient/Classical Greek Language and Literature"", ""Biochemistry"", ""Biology/Biological Sciences, General"", ""Business Administration and Management, General"", ""Business/Managerial Economics"", ""Chemistry, General"", ""Classics and Classical Languages, Literatures, and Linguistics, General"", ""Communication Sciences and Disorders, General"", ""Computer Science"", ""Cultural Studies/Critical Theory and Analysis"", ""Drama and Dramatics/Theatre Arts, General"", ""Economics, General"", ""Engineering Physics/Applied Physics"", ""English Language and Literature, General"", ""Entrepreneurship/Entrepreneurial Studies"", ""Environmental Science"", ""Finance, General"", ""Fine/Studio Arts, General"", ""Foods, Nutrition, and Wellness Studies, General"", ""French Language and Literature"", ""Geography"", ""German Language and Literature"", ""Graphic Design"", ""Health Information/Medical Records Administration/Administrator"", ""History, General"", ""Human Development and Family Studies, General"", ""Interior Design"", ""International Relations and Affairs"", ""International/Global Studies"", ""Journalism"", ""Keyboard Instruments"", ""Latin American Studies"", ""Latin Language and Literature""]"
58,Salve Regina University,401,0.7189,2160,-1,-1,-1,61260,61260,Private nonprofit,27000,67.0,RI,"[""Accounting"", ""American/United States Studies/Civilization"", ""Art History, Criticism and Conservation"", ""Biochemistry and Molecular Biology"", ""Biology Teacher Education"", ""Biology/Biological Sciences, General"", ""Business Administration and Management, General"", ""Chemistry, General"", ""Clinical Laboratory Science/Medical Technology/Technologist"", ""Communication and Media Studies, Other"", ""Criminal Justice/Law Enforcement Administration"", ""Drama and Dramatics/Theatre Arts, General"", ""Early Childhood Education and Teaching"", ""Economics, General"", ""Elementary Education and Teaching"", ""English Language and Literature, General"", ""English/Language Arts Teacher Education"", ""Environmental Studies"", ""Finance, General"", ""Fine/Studio Arts, General"", ""French Language Teacher Education"", ""French Language and Literature"", ""Health/Health Care Administration/Management"", ""Historic Preservation and Conservation""]"
57,Saint Louis University,121,0.6443,7209,640,634,28,63068,63068,Private nonprofit,24988,70.6,MO,"[""Accounting"", ""Aeronautics/Aviation/Aerospace Science and Technology, General"", ""Aerospace, Aeronautical and Astronautical/Space Engineering"", ""African-American/Black Studies"", ""American/United States Studies/Civilization"", ""Anthropology"", ""Art History, Criticism and Conservation"", ""Atmospheric Sciences and Meteorology, General"", ""Biochemistry"", ""Bioengineering and Biomedical Engineering"", ""Biology/Biological Sciences, General"", ""Biostatistics"", ""Business Administration and Management, General"", ""Business/Managerial Economics"", ""Chemistry, General"", ""Civil Engineering, General"", ""Classics and Classical Languages, Literatures, and Linguistics, General"", ""Clinical Laboratory Science/Medical Technology/Technologist"", ""Clinical/Medical Laboratory Science and Allied Professions, Other"", ""Communication Sciences and Disorders, General"", ""Communication, General"", ""Community Organization and Advocacy"", ""Computer Engineering, General"", ""Computer Science"", ""Computer and Information Sciences, General"", ""Criminal Justice/Safety Studies"", ""Crisis/Emergency/Disaster Management"", ""Dietetics/Dietitian"", ""Drama and Dramatics/Theatre Arts, General"", ""Education, General"", ""Electrical and Electronics Engineering"", ""Engineering Physics/Applied Physics"", ""Engineering, General"", ""English Language and Literature, General"", ""Entrepreneurship/Entrepreneurial Studies"", ""Environmental Science"", ""Environmental Studies"", ""Finance, General"", ""Fine/Studio Arts, General"", ""Forensic Science and Technology"", ""French Language and Literature"", ""General Studies""]"
56,SUNY College of Environmental Science and Forestry,299,0.5215,1790,605,617,26,27635,37545,Public,18000,,NY,"[""Aquatic Biology/Limnology"", ""Biochemistry"", ""Bioengineering and Biomedical Engineering"", ""Biological and Biomedical Sciences, Other"", ""Biotechnology"", ""Chemistry, General"", ""Conservation Biology"", ""Construction Management"", ""Environmental Biology"", ""Environmental Health"", ""Environmental Science"", ""Environmental Studies"", ""Environmental/Environmental Health Engineering""]"
55,Roger Williams University,401,0.8229,4476,585,593,26,53324,53324,Private nonprofit,26798,55.3,RI,"[""Accounting"", ""American/United States Studies/Civilization"", ""Applied Mathematics, General"", ""Architecture"", ""Art History, Criticism and Conservation"", ""Art/Art Studies, General"", ""Biochemistry"", ""Biology/Biological Sciences, General"", ""Business Administration and Management, General"", ""Chemistry, General"", ""Civil Engineering, General"", ""Communication and Media Studies, Other"", ""Computer Engineering, General"", ""Computer Science"", ""Computer and Information Sciences, General"", ""Construction Management"", ""Corrections and Criminal Justice, Other"", ""Creative Writing"", ""Criminal Justice/Law Enforcement Administration"", ""Cyber/Computer Forensics and Counterterrorism"", ""Dance, General"", ""Drama and Dramatics/Theatre Arts, General"", ""Economics, General"", ""Education, General"", ""Electrical and Electronics Engineering"", ""Elementary Education and Teaching"", ""Engineering, General"", ""English Language and Literature, General"", ""English/Language Arts Teacher Education"", ""Environmental Science"", ""Environmental/Environmental Health Engineering"", ""Finance, General"", ""Financial Planning and Services"", ""Fine/Studio Arts, General"", ""Foreign Language Teacher Education""]"
54,Rochester Institute of Technology,155,0.5672,12858,665,635,29,61518,61518,Private nonprofit,27000,27.9,NY,"[""Accounting"", ""Advertising"", ""Aerospace, Aeronautical and Astronautical/Space Engineering"", ""American Sign Language (ASL)"", ""Animation, Interactive Technology, Video Graphics and Special Effects"", ""Biochemistry"", ""Bioengineering and Biomedical Engineering"", ""Bioinformatics"", ""Biological and Biomedical Sciences, Other"", ""Biology/Biological Sciences, General"", ""Biomedical Sciences, General"", ""Biotechnology"", ""Business Administration and Management, General"", ""Business/Commerce, General"", ""Ceramic Arts and Ceramics"", ""Chemical Engineering"", ""Chemistry, General"", ""Cinematography and Film/Video Production"", ""Civil Engineering Technology/Technician"", ""Clinical Laboratory Science/Medical Technology/Technologist"", ""Commercial Photography"", ""Commercial and Advertising Art"", ""Communication and Media Studies, Other"", ""Computational Mathematics"", ""Computer Engineering Technology/Technician"", ""Computer Engineering, General"", ""Computer Graphics"", ""Computer Science"", ""Computer Software Engineering"", ""Computer Systems Analysis/Analyst"", ""Computer Systems Networking and Telecommunications"", ""Computer and Information Sciences, General"", ""Computer and Information Systems Security/Information Assurance"", ""Crafts/Craft Design, Folk Art and Artisanry"", ""Criminal Justice/Law Enforcement Administration"", ""Criminal Justice/Safety Studies"", ""Data Modeling/Warehousing and Database Administration"", ""Design and Visual Communications, General"", ""Diagnostic Medical Sonography/Sonographer and Ultrasound Technician"", ""Digital Communication and Media/Multimedia"", ""Economics, General"", ""Electrical and Electronic Engineering Technologies/Technicians, Other"", ""Electrical and Electronics Engineering"", ""Electromechanical Technology/Electromechanical Engineering Technology"", ""Engineering, General"", ""Engineering, Other"", ""Engineering-Related Technologies, Other"", ""Environmental Science"", ""Finance, General"", ""Fine/Studio Arts, General"", ""Foodservice Systems Administration/Management"", ""Game and Interactive Media Design"", ""Graphic Communications, General"", ""Graphic Design"", ""Hospitality Administration/Management, General"", ""Hospitality and Recreation Marketing Operations""]"
53,Rider University,319,0.6712,4042,-1,-1,-1,61540,61540,Private nonprofit,26000,56.9,NJ,"[""Accounting"", ""Advertising"", ""American/United States Studies/Civilization"", ""Art/Art Studies, General"", ""Behavioral Sciences"", ""Biochemistry"", ""Biology/Biological Sciences, General"", ""Biopsychology"", ""Business Administration and Management, General"", ""Business Administration, Management and Operations, Other"", ""Business Teacher Education"", ""Business/Managerial Economics"", ""Chemistry, General"", ""Computer Science"", ""Computer and Information Sciences, General"", ""Criminal Justice/Safety Studies"", ""Dance, General"", ""Directing and Theatrical Production"", ""Economics, General"", ""Elementary Education and Teaching"", ""English Language and Literature, General"", ""Entrepreneurship/Entrepreneurial Studies"", ""Environmental Science"", ""Finance, General"", ""Fine and Studio Arts Management"", ""French Language and Literature"", ""Geology/Earth Science, General"", ""German Language and Literature"", ""Graphic Design"", ""Health Policy Analysis"", ""Health Services Administration"", ""Health Services/Allied Health/Health Sciences, General"", ""History, General"", ""International Business/Trade/Commerce"", ""International Relations and Affairs""]"
52,Rice University,16,0.1586,3970,775,730,34,67352,67352,Private nonprofit,11989,85.5,TX,"[""Ancient/Classical Greek Language and Literature"", ""Anthropology"", ""Applied Mathematics, General"", ""Architecture"", ""Art History, Criticism and Conservation"", ""Art/Art Studies, General"", ""Asian Studies/Civilization"", ""Astronomy"", ""Astrophysics"", ""Biochemistry"", ""Bioengineering and Biomedical Engineering"", ""Biology/Biological Sciences, General"", ""Business Administration and Management, General"", ""Chemical Engineering"", ""Chemistry, General"", ""Civil Engineering, General"", ""Classics and Classical Languages, Literatures, and Linguistics, General"", ""Computer Engineering, General"", ""Computer and Information Sciences, General"", ""Ecology"", ""Economics, General"", ""Electrical and Electronics Engineering"", ""English Language and Literature, General"", ""Environmental/Environmental Health Engineering"", ""Evolutionary Biology"", ""Fine/Studio Arts, General"", ""French Language and Literature"", ""Geology/Earth Science, General"", ""Geophysics and Seismology""]"
51,Reed College,75,0.3563,1415,700,705,31,77010,77010,Private nonprofit,13465,64.8,OR,"[""American/United States Studies/Civilization"", ""Anthropology"", ""Art/Art Studies, General"", ""Biochemistry"", ""Biology/Biological Sciences, General"", ""Chemistry, General"", ""Chinese Language and Literature"", ""Classics and Classical Languages, Literatures, and Linguistics, General"", ""Comparative Literature"", ""Computer Science"", ""Dance, General"", ""Drama and Dramatics/Theatre Arts, General"", ""Economics, General"", ""English Language and Literature, General"", ""Environmental Studies"", ""Ethnic Studies"", ""Fine/Studio Arts, General"", ""French Language and Literature""]"
